2023-11-05 08:31:43 status unpacked libnettle6:armel 3.4.1-1+deb10u1
2023-11-05 08:31:43 install libp11-kit0:armel <none> 0.23.15-2+deb10u1
2023-11-05 08:31:43 status half-installed libp11-kit0:armel 0.23.15-2+deb10u1
2023-11-05 08:31:44 status unpacked libp11-kit0:armel 0.23.15-2+deb10u1
2023-11-05 08:31:44 install libpam-modules:armel <none> 1.3.1-5
2023-11-05 08:31:44 status half-installed libpam-modules:armel 1.3.1-5
2023-11-05 08:31:44 status unpacked libpam-modules:armel 1.3.1-5
2023-11-05 08:31:44 install libpam-modules-bin:armel <none> 1.3.1-5
2023-11-05 08:31:44 status half-installed libpam-modules-bin:armel 1.3.1-5
2023-11-05 08:31:45 status unpacked libpam-modules-bin:armel 1.3.1-5
2023-11-05 08:31:45 install libpam-runtime:all <none> 1.3.1-5
2023-11-05 08:31:45 status half-installed libpam-runtime:all 1.3.1-5
2023-11-05 08:31:45 status unpacked libpam-runtime:all 1.3.1-5
2023-11-05 08:31:45 install libpam0g:armel <none> 1.3.1-5
2023-11-05 08:31:45 status half-installed libpam0g:armel 1.3.1-5
2023-11-05 08:31:45 status unpacked libpam0g:armel 1.3.1-5
2023-11-05 08:31:45 install libpcre3:armel <none> 2:8.39-12
2023-11-05 08:31:45 status half-installed libpcre3:armel 2:8.39-12
2023-11-05 08:31:45 status unpacked libpcre3:armel 2:8.39-12
2023-11-05 08:31:45 upgrade perl-base:armel 5.28.1-6+deb10u1 5.28.1-6+deb10u1
2023-11-05 08:31:45 status half-configured perl-base:armel 5.28.1-6+deb10u1
2023-11-05 08:31:45 status unpacked perl-base:armel 5.28.1-6+deb10u1
2023-11-05 08:31:45 status half-installed perl-base:armel 5.28.1-6+deb10u1
2023-11-05 08:31:46 status unpacked perl-base:armel 5.28.1-6+deb10u1
2023-11-05 08:31:46 install sed:armel <none> 4.7-1
2023-11-05 08:31:46 status half-installed sed:armel 4.7-1
2023-11-05 08:31:46 status unpacked sed:armel 4.7-1
2023-11-05 08:31:46 install login:armel <none> 1:4.5-1.1
2023-11-05 08:31:46 status half-installed login:armel 1:4.5-1.1
2023-11-05 08:31:46 status unpacked login:armel 1:4.5-1.1
2023-11-05 08:31:47 install passwd:armel <none> 1:4.5-1.1
2023-11-05 08:31:47 status half-installed passwd:armel 1:4.5-1.1
2023-11-05 08:31:47 status unpacked passwd:armel 1:4.5-1.1
2023-11-05 08:31:47 install libsystemd0:armel <none> 241-7~deb10u8
2023-11-05 08:31:47 status half-installed libsystemd0:armel 241-7~deb10u8
2023-11-05 08:31:47 status unpacked libsystemd0:armel 241-7~deb10u8
2023-11-05 08:31:47 install libudev1:armel <none> 241-7~deb10u8
2023-11-05 08:31:47 status half-installed libudev1:armel 241-7~deb10u8
2023-11-05 08:31:47 status unpacked libudev1:armel 241-7~deb10u8
2023-11-05 08:31:47 install sysvinit-utils:armel <none> 2.93-8
2023-11-05 08:31:47 status half-installed sysvinit-utils:armel 2.93-8
2023-11-05 08:31:47 status unpacked sysvinit-utils:armel 2.93-8
2023-11-05 08:31:47 install tar:armel <none> 1.30+dfsg-6
2023-11-05 08:31:47 status half-installed tar:armel 1.30+dfsg-6
2023-11-05 08:31:48 status unpacked tar:armel 1.30+dfsg-6
2023-11-05 08:31:48 install tzdata:all <none> 2021a-0+deb10u6
2023-11-05 08:31:48 status half-installed tzdata:all 2021a-0+deb10u6
2023-11-05 08:31:48 status unpacked tzdata:all 2021a-0+deb10u6
2023-11-05 08:31:48 install bsdutils:armel <none> 1:2.33.1-0.1
2023-11-05 08:31:48 status half-installed bsdutils:armel 1:2.33.1-0.1
2023-11-05 08:31:49 status unpacked bsdutils:armel 1:2.33.1-0.1
2023-11-05 08:31:49 install fdisk:armel <none> 2.33.1-0.1
2023-11-05 08:31:49 status half-installed fdisk:armel 2.33.1-0.1
2023-11-05 08:31:49 status unpacked fdisk:armel 2.33.1-0.1
2023-11-05 08:31:49 install libblkid1:armel <none> 2.33.1-0.1
2023-11-05 08:31:49 status half-installed libblkid1:armel 2.33.1-0.1
2023-11-05 08:31:49 status unpacked libblkid1:armel 2.33.1-0.1
2023-11-05 08:31:49 install libfdisk1:armel <none> 2.33.1-0.1
2023-11-05 08:31:49 status half-installed libfdisk1:armel 2.33.1-0.1
2023-11-05 08:31:49 status unpacked libfdisk1:armel 2.33.1-0.1
2023-11-05 08:31:49 install libmount1:armel <none> 2.33.1-0.1
2023-11-05 08:31:49 status half-installed libmount1:armel 2.33.1-0.1
2023-11-05 08:31:49 status unpacked libmount1:armel 2.33.1-0.1
2023-11-05 08:31:49 install libsmartcols1:armel <none> 2.33.1-0.1
2023-11-05 08:31:49 status half-installed libsmartcols1:armel 2.33.1-0.1
2023-11-05 08:31:50 status unpacked libsmartcols1:armel 2.33.1-0.1
2023-11-05 08:31:50 install libuuid1:armel <none> 2.33.1-0.1
2023-11-05 08:31:50 status half-installed libuuid1:armel 2.33.1-0.1
2023-11-05 08:31:50 status unpacked libuuid1:armel 2.33.1-0.1
2023-11-05 08:31:50 install mount:armel <none> 2.33.1-0.1
2023-11-05 08:31:50 status half-installed mount:armel 2.33.1-0.1
2023-11-05 08:31:50 status unpacked mount:armel 2.33.1-0.1
2023-11-05 08:31:50 install util-linux:armel <none> 2.33.1-0.1
2023-11-05 08:31:50 status half-installed util-linux:armel 2.33.1-0.1
2023-11-05 08:31:50 status unpacked util-linux:armel 2.33.1-0.1
2023-11-05 08:31:50 install liblzma5:armel <none> 5.2.4-1+deb10u1
2023-11-05 08:31:50 status half-installed liblzma5:armel 5.2.4-1+deb10u1
2023-11-05 08:31:50 status unpacked liblzma5:armel 5.2.4-1+deb10u1
2023-11-05 08:31:50 install zlib1g:armel <none> 1:1.2.11.dfsg-1+deb10u1
2023-11-05 08:31:50 status half-installed zlib1g:armel 1:1.2.11.dfsg-1+deb10u1
2023-11-05 08:31:51 status unpacked zlib1g:armel 1:1.2.11.dfsg-1+deb10u1
2023-11-05 08:31:51 startup packages configure
2023-11-05 08:31:51 configure debian-archive-keyring:all 2019.1+deb10u1 <none>
2023-11-05 08:31:51 status unpacked debian-archive-keyring:all 2019.1+deb10u1
2023-11-05 08:31:51 status half-configured debian-archive-keyring:all 2019.1+deb10u1
2023-11-05 08:31:51 status installed debian-archive-keyring:all 2019.1+deb10u1
2023-11-05 08:31:51 configure libaudit-common:all 1:2.8.4-3 <none>
2023-11-05 08:31:51 status unpacked libaudit-common:all 1:2.8.4-3
2023-11-05 08:31:51 status half-configured libaudit-common:all 1:2.8.4-3
2023-11-05 08:31:51 status installed libaudit-common:all 1:2.8.4-3
2023-11-05 08:31:51 configure libsemanage-common:all 2.8-2 <none>
2023-11-05 08:31:51 status unpacked libsemanage-common:all 2.8-2
2023-11-05 08:31:51 status half-configured libsemanage-common:all 2.8-2
2023-11-05 08:31:51 status installed libsemanage-common:all 2.8-2
2023-11-05 08:31:51 configure ncurses-base:all 6.1+20181013-2+deb10u2 <none>
2023-11-05 08:31:51 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2023-11-05 08:31:51 status half-configured ncurses-base:all 6.1+20181013-2+deb10u2
